ime,vrsta,ekstra,št. v prostori,št. v prostori-lastnosti,št. v lastnosti,št. v izreki,skupaj
Locally finite space on Wikipedia,wikipedia,Locally_finite_space,0,0,1,0,1
Real line on Wikipedia,wikipedia,Real_line,1,0,1,0,2
"Quotients of k-semigroups. (Lawson, J.; Madison, B.)",zb,0288.22006,0,0,1,0,1
Between T1 and T2 (Wilanski),doi,10.2307/2316017,0,0,1,0,1
Minimal properties between T1 and T2 (Alas & Wilson),mr,2219327,0,0,1,0,1
Semi-Hausdorff Spaces (Murdeshwar & Naimpally),doi,10.4153/CMB-1966-045-1,0,0,1,0,1
"Answer to ""Can the US separation axiom be characterized by compact sets?""",mathse,5011974,0,0,1,0,1
Between T1 and T2,doi,10.2307/2316017,0,0,1,0,1
"""All retracts are closed"" as separation axiom",mo,191016,0,0,1,1,2
"""All retracts are closed"" and ""all compacts are closed""",mo,434451,0,1,1,1,3
Arc-wise connectedness in semi-metric spaces (Heath),zb,0113.16501,0,0,1,0,1
A regular semi-metric space for which there is no semimetric under which all spheres are open (Heath),zb,0116.14303,0,0,1,0,1
"Generalized Metric Spaces and Mappings (Lin , Yun)",doi,10.2991/978-94-6239-216-8,0,0,2,1,3
On semi-metric spaces (Wilson),doi,10.2307/2370790,0,0,2,0,2
On minimal strongly KC-spaces,doi,10.1007/s10587-009-0022-6,0,0,1,2,3
Encyclopedia of general topology (Hart et al),zb,1059.54001,0,0,1,1,2
"Generalized metric spaces (G. Gruenhage), Ch. 10 of Handbook of set-theoretic topology",zb,0555.54015,0,0,1,1,2
Collectionwise normal space on Wikipedia,wikipedia,Collectionwise_normal_space,0,0,1,0,1
Definition of hereditarily collectionwise normal spaces using separated families,mathse,4737011,0,0,1,0,1
"Monotonically normal spaces (Heath, Lutzer, Zenor)",zb,0269.54009,0,0,1,2,3
Monotonically normal space on Wikipedia,wikipedia,Monotonically_normal_space,0,0,1,0,1
Mary Ellen Rudin and monotone normality (Bennett & Lutzer),zb,1327.54003,0,0,1,0,1
A study of monotonically normal spaces (Borges),zb,0257.54018,0,0,1,0,1
A topology for spaces of transformations,mr,17525,0,0,1,0,1
Submetrizable spaces and almost $\sigma$-compact function spaces (R. McCoy),doi,10.1090/S0002-9939-1978-0482639-9,0,0,1,0,1
"Covering properties (D. Burke), Ch. 9 of Handbook of set-theoretic topology",zb,0569.54022,0,0,1,0,1
"Modern General Topology (Nagata, 1985)",zb,0598.54001,0,0,1,0,1
Classical Descriptive Set Theory (Kechris),doi,10.1007/978-1-4612-4190-4,0,1,2,3,6
Polish space on Wikipedia,wikipedia,Polish_space,0,0,1,3,4
Introduction to topological manifolds (Lee),mr,2766102,1,0,3,0,4
Manifold on Wikipedia,wikipedia,Manifold,0,2,1,0,3
Door spaces are identifiable (S. D. McCartan),zb,0646.54028,0,0,1,2,3
Door space on Wikipedia,wikipedia,Door_space,0,0,1,1,2
Dowker spaces (M.E. Rudin),mr,776636,1,0,1,0,2
Applications of k-covers II,doi,10.1016/j.topol.2005.07.015,0,0,3,2,5
Lindelöf space,wikipedia,Lindelöf_space,0,0,1,1,2
"Showing that if every open subspace is Lindelöf, then the space is hereditarily Lindelöf.",mathse,494918,0,0,1,0,1
G-delta space,wikipedia,Gδ_space,0,0,1,0,1
Order topology on Wikipedia,wikipedia,Order_topology,0,1,1,0,2
Handbook of Analysis and its Foundations (Schechter),mr,1417259,0,0,2,1,3
Hausdorff space on Wikipedia,wikipedia,Hausdorff_space,0,0,1,3,4
Can a hemicompact space fail to be weakly locally compact?,mathse,4566624,0,2,1,1,4
The total negation of a topological property,doi,10.1215/ijm/1256048236,0,0,1,0,1
Empty set on Wikipedia,wikipedia,Empty_set,0,1,1,1,3
Is there an infinite topological space with only countably many continuous functions to itself?,mo,418619,0,0,1,2,3
Unraveling the various definitions of k-space or compactly generated space,mathse,4646084,0,0,3,2,5
Compactly generated space on Wikipedia,wikipedia,Compactly_generated_space,0,0,5,1,6
Classifying spaces and infinite symmetric products (M. C. McCord),doi,10.1090/S0002-9947-1969-0251719-4,0,0,1,0,1
Weak Hausdorff space on Wikipedia,wikipedia,Weak_Hausdorff_space,0,0,1,1,2
How can the implication metrizable -> first countable be generalized?,mathse,4659902,0,0,1,3,4
Ultraparacompactness and Ultranormality (J. Van Name),doi,10.48550/arXiv.1306.6086,0,0,1,2,3
Extending continuous functions on zero-dimensional spaces (R. Ellis),mr,261565,0,0,1,0,1
A topological view of P-spaces (A. Misra),doi,10.1016/0016-660X(72)90026-8,2,11,1,7,21
"Answer to ""The 'right' topological spaces""",mo,251490,0,0,1,0,1
"Some properties of C(X), I (Gerlits & Nagy)",doi,10.1016/0166-8641(82)90065-7,0,0,1,1,2
Selection principles related to α-properties (Kočinac),zb,1153.54009,0,0,1,0,1
Property $C''$ and Function Spaces (Sakai),doi,10.1090/S0002-9939-1988-0964873-0,0,0,1,1,2
Can P1 improve an open cover to an omega-cover in the finite-open game?,mathse,4738368,0,0,1,0,1
Do uncountable spaces admit Markov strategies in Rothberger-style games?,mathse,4737285,0,0,1,1,2
"On traditional Menger and Rothberger variations (Caruvana, Clontz, Holshouser)",doi,10.4995/agt.2024.21437,0,0,1,1,2
The combinatorics of open covers II,doi,10.1016/S0166-8641(96)00075-2,0,0,1,2,3
On generalized ordered spaces (D. Lutzer),zb,0228.54026,0,0,1,4,5
Equivalent definitions for GO-spaces (generalized ordered spaces),mathse,4917398,0,0,1,4,5
The existence of continuous weak selections and orderability-type properties in products and filter spaces (Motooka et al.),doi,10.1016/j.topol.2017.09.030,0,0,1,0,1
Selection games and the Vietoris space,doi,10.1016/j.topol.2021.107772,0,0,4,11,15
Rings of Continuous Functions (Gillman and Jerison),doi,10.1007/978-1-4615-7819-2,0,4,2,2,8
Ultrafilter on Wikipedia,wikipedia,Ultrafilter,0,0,1,0,1
Measurable cardinal on Wikipedia,wikipedia,Measurable_cardinal,0,0,1,1,2
Set Theory (Jech),doi,10.1007/3-540-44761-X,0,0,1,0,1
Pseudocompact topological spaces (Hrusak et al.),doi,10.1007/978-3-319-91680-4,0,0,1,0,1
Pseudonormal space on Wikipedia,wikipedia,Pseudonormal_space,0,0,1,0,1
Topological Properties of Spaces of Continuous Functions,doi,10.1007/BFb0098389,0,0,1,0,1
Topological property of convergent sequences being eventually constant,mo,451796,0,0,1,0,1
Sequential space on Wikipedia,wikipedia,Sequential_space,0,0,1,0,1
"Answer to ""Does every door space with an infinite compact set have a single non-isolated point?""",mathse,4995501,0,0,1,0,1
"On spaces whose denumerable subspaces are discrete (Ganster, Reilly, Vamanamurthy)",zb,0665.54003,0,0,1,0,1
Answer to What separation is required to ensure extremally disconnected spaces are sequentially discrete?,mathse,4751818,0,0,1,2,3
Each regular paratopological group is completely regular,doi,10.1090/proc/13318,0,0,1,0,1
Examples of strongly rigid countable (semi)Hausdorff spaces,mr,4614765,0,0,1,0,1
Quotients of k-semigroups (Lawson & Madison),doi,10.1007/BF02194829,0,0,1,0,1
How are k-Hausdorff and weakly Hausdorff distinct?,mathse,4760309,0,2,1,2,5
An internal characterisation of radiality (R. Leek),doi,10.1016/j.topol.2014.08.002,0,0,1,1,2
Spaces with linearly ordered local bases (S. W. Davis),mr,540476,0,0,1,1,2
Convergent filters generated by (not necessarily countable) chains,mo,202280,0,0,1,0,1
Name for topological spaces where 'every point has a local base wellordered by reverse inclusion',mo,322162,0,0,1,0,1
"$\sigma$-spaces and closed mappings, I (A. Okuyama)",doi,10.3792/pja/1195521153,0,0,1,0,1
On paracompactness in function spaces with the compact-open topology (P. O'Meara),doi,10.1090/S0002-9939-1971-0276919-3,0,0,1,0,1
Encyclopedia of General Topology,doi,10.1016/B978-0-444-50355-8.X5000-4,0,0,3,0,3
Dimension Theory (Engelking),zb,0401.54029,0,1,1,1,3
On ultrapseudocompact and related spaces (T. Nieminen),doi,10.5186/aasfm.1977.0321,0,0,2,1,3
A compact space $K$ is Corson compact if and only if $C_p(K)$ has a dense lc-scattered subspace (Tkachuk),zb,1535.54012,0,0,1,1,2
Infinite games and generalizations of first-countable spaces (Gruenhage),doi,10.1016/0016-660X(76)90024-6,0,0,1,6,7
The story of a topological game (Gruenhage),zb,1141.54020,0,0,1,0,1
Encyclopedia of General Topology (Hart et al),doi,10.1016/B978-0-444-50355-8.X5000-4,0,0,1,0,1
Continuum Theory: An introduction (Nadler),doi,10.1201/9781315274089,0,0,1,0,1
Continuum Theory (Nadler),doi,10.1201/9781315274089,0,0,1,0,1
"Answer to ""$\sigma$-connected spaces and path-connected property""",mathse,4975867,0,2,1,0,3
Ordinal number on Wikipedia,wikipedia,Ordinal_number,0,0,1,0,1
Sober spaces and sober sets (Echi & Lazaar),doi,10.35834/mjms/1316032836,0,0,1,0,1
Generalized paracompactness (Y. Yasui),zb,0712.54016,0,0,2,3,5
Shrinking space,wikipedia,Shrinking_space,0,0,1,0,1
Characterizations of developable topological spaces (J. Worrell and H. Wicke),zb,0132.18401,0,0,1,0,1
On Submetacompactness (H. Junnila),zb,0413.54027,0,0,1,1,2
Stone space on Wikipedia,wikipedia,Stone_space,0,0,1,2,3
Cardinal functions. I. Handbook of set-theoretic topology (R. Hodel),mr,776620,0,0,2,2,4
Contractible space on Wikipedia,wikipedia,Contractible_space,0,0,1,0,1
Algebraic Topology (Hatcher),zb,1044.55001,1,12,2,2,17
Simply connected space on Wikipedia,wikipedia,Simply_connected_space,0,0,1,0,1
Fundamental group on Wikipedia,wikipedia,Fundamental_group,0,0,1,0,1
Characterizing simply connected spaces,mathse,4044399,0,0,1,0,1
Generic point on Wikipedia,wikipedia,Generic_point,0,0,1,0,1
Specialization (pre)order on Wikipedia,wikipedia,Specialization_(pre)order,0,0,2,0,2
Algebraic Geometry II (Mumford-Oda),zb,1325.14001,0,0,2,0,2
Sketches of an elephant. A topos theory compendium (Johnstone),zb,1071.18002,0,0,1,0,1
On the product of almost discrete Grothendieck spaces (Osipov),zb,1542.54005,0,0,1,0,1
"Almost discrete SV-spaces (Henrikson, Wilson)",zb,0791.54049,0,0,1,0,1
Cut-point spaces (Honari & Bahrampour),doi,10.1090/s0002-9939-99-04839-x,1,1,2,1,5
Cut point on Wikipedia,wikipedia,Cut_point,0,0,2,0,2
Choquet game on Wikipedia,wikipedia,Choquet_game,0,0,1,0,1
Sur une problème de M. Dieudonné (Cohen),zb,0046.16403,1,2,1,1,5
Strong collectionwise normality and M. E. Rudin’s Dowker space (Hart),doi,10.1090/S0002-9939-1981-0630058-4,0,0,1,0,1
Some Generalizations of Full Normality (M. J. Mansfield),doi,10.2307/1993026,0,0,1,0,1
Noetherian topological space on Wikipedia,wikipedia,Noetherian_topological_space,0,0,1,0,1
Discrete Space on Wikipedia,wikipedia,Discrete_space,4,0,0,0,4
Trivial topology on Wikipedia,wikipedia,Trivial_topology,4,0,0,0,4
Partition topology on Wikipedia,wikipedia,Partition_topology,2,0,0,0,2
Particular point topology on Wikipedia,wikipedia,Particular_point_topology,3,0,0,0,3
Sierpinski space on Wikipedia,wikipedia,Sierpinski_space,1,0,0,0,1
Excluded point topology on Wikipedia,wikipedia,Excluded_point_topology,3,0,0,0,3
Either-or topology on Wikipedia,wikipedia,Either-or_topology,1,0,0,0,1
Finite complement topology on Wikipedia,wikipedia,Finite_complement_topology,2,0,0,0,2
Cocountable topology on Wikipedia,wikipedia,Cocountable_topology,1,0,0,0,1
Compact complement topology,wikipedia,Compact_complement_topology,1,0,0,0,1
Fort space on Wikipedia,wikipedia,Fort_space,4,0,0,0,4
Handbook of Analysis and Its Foundations,doi,10.1016/B978-0-12-622760-4.X5000-6,1,7,0,0,8
Functional Analysis,doi,10.1007/978-93-86279-42-2,1,1,0,0,2
Weak topology on Wikipedia,wikipedia,Weak_topology,1,0,0,0,1
Arens-Fort space,wikipedia,Arens-Fort_space,1,0,0,0,1
Fort space,wikipedia,Fort_space,2,0,0,0,2
Cantor set on Wikipedia,wikipedia,Cantor_set,1,0,0,0,1
Rational number on Wikipedia,wikipedia,Rational_number,1,1,0,0,2
Two topological uniqueness theorems for spaces of real numbers (M. Francis),doi,10.48550/arXiv.1210.1008,1,0,0,0,1
Furstenberg topology on Wikipedia,wikipedia,Furstenberg_topology,1,0,0,0,1
Irrational number on Wikipedia,wikipedia,Irrational_number,1,0,0,0,1
Baire space (set theory) on Wikipedia,wikipedia,Baire_space_(set_theory),1,0,0,0,1
Baire space homeomorphic to irrationals,mathse,352547,1,0,0,0,1
Alexandroff extension on Wikipedia,wikipedia,Alexandroff_extension,2,1,0,0,3
Hilbert space on Wikipedia,wikipedia,Hilbert_space,1,0,0,0,1
A complete elementary proof that Hilbert space is homeomorphic to the countable infinite product of lines (Anderson & Bing),doi,10.1090/S0002-9904-1968-12044-0,1,0,0,0,1
Selected topics in infinite-dimensional topology (Bessaga & Pełczyński),mr,0478168,1,0,0,0,1
Weak Hausdorff space not KC,mathse,632320,1,4,0,0,5
Hilbert cube on Wikipedia,wikipedia,Hilbert_cube,1,0,0,0,1
"Answer to ""Relationship between weak Hausdorff and US properties""",mathse,4268177,1,1,0,0,2
Long line on Wikipedia,wikipedia,Long_line_(topology),3,4,0,0,7
Lower limit topology on Wikipedia,wikipedia,Lower_limit_topology,1,0,0,0,1
Nested interval topology on Wikipedia,wikipedia,Nested_interval_topology,1,0,0,0,1
Overlapping interval topology on Wikipedia,wikipedia,Overlapping_interval_topology,1,0,0,0,1
Zariski topology,wikipedia,Zariski_topology,1,0,0,0,1
Divisor topology on Wikipedia,wikipedia,Divisor_topology,1,0,0,0,1
"On Generalized Digital Lines (Nakaoka, Tamari, Maki)",doi,10.32219/isms.80.1_15,1,0,0,0,1
Arithmetic progression topologies on Wikipedia,wikipedia,Arithmetic_progression_topologies,2,0,0,0,2
K-topology on Wikipedia,wikipedia,K-topology,1,0,0,0,1
Is every rational sequence topology homeomorphic?,mo,447593,1,0,0,0,1
The product of a normal space and a metric space need not be normal (E. Michael),doi,10.1090/S0002-9904-1963-10931-3,1,0,0,0,1
Double origin topology on Wikipedia,wikipedia,Double_origin_topology,1,0,0,0,1
A connected countable Hausdorff space (R.H. Bing),zb,0051.13902,1,0,0,0,1
Moore plane on Wikipedia,wikipedia,Moore_plane,1,0,0,0,1
Sorgenfrey plane on Wikipedia,wikipedia,Sorgenfrey_plane,1,0,0,0,1
Tychonoff plank on Wikipedia,wikipedia,Tychonoff_plank,2,0,0,0,2
"Answer to ""Is Arens Square a Urysohn space?""",mathse,1716095,1,3,0,0,4
Non-Hausdorff manifold on Wikipedia,wikipedia,Non-Hausdorff_manifold,3,17,0,0,20
"Answer to ""T1 spaces where the closure of a compact set is not compact""",mathse,3678440,1,0,0,0,1
Dieudonné plank on Wikipedia,wikipedia,Dieudonné_plank,1,0,0,0,1
Split interval on Wikipedia,wikipedia,Split_interval,1,0,0,0,1
Appert topology on Wikipedia,wikipedia,Appert_topology,1,0,0,0,1
"Answer to ""Are hereditarily connected spaces and ultraconnected spaces contractible?""",mathse,5001004,1,10,0,0,11
Helly space on Wikipedia,wikipedia,Helly_space,1,0,0,0,1
Stone–Čech compactification on Wikipedia,wikipedia,Stone–Čech_compactification,1,0,0,0,1
Topologist's sine curve on Wikipedia,wikipedia,Topologist's_sine_curve,3,0,0,0,3
Infinite broom on Wikipedia,wikipedia,Infinite_broom,2,0,0,0,2
Infinite broom topology on Wikipedia,wikipedia,Integer_broom_topology,1,0,0,0,1
Knaster-Kuratowski fan,wikipedia,Knaster-Kuratowski_fan,2,0,0,0,2
Pseudo-arc,wikipedia,Pseudo-arc,1,0,0,0,1
"Sequential fans in topology (Eda, Gruenhage, et al.)",doi,10.1016/0166-8641(95)00016-X,1,1,0,0,2
"Answer to ""Can a Fréchet-Urysohn hemicompact Hausdorff space fail to be locally compact?""",mathse,4844916,2,7,0,0,9
A topology for sequences of integers I (R. L. Duncan),zb,0109.03302,2,0,0,0,2
Name for topology generated by the standard open sets of reals and every point that isn't zero.,mathse,4833751,1,1,0,0,2
Hedgehog space,wikipedia,Hedgehog_space,1,0,0,0,1
"Bing, R.H., Metrization of Topological Spaces",doi,10.4153/CJM-1951-022-3,1,1,0,0,2
A normal space X for which X×I is not normal (M.E. Rudin),doi,10.4064/fm-73-2-179-186,1,3,0,0,4
Wedge sum on Wikipedia,wikipedia,Wedge_sum,1,0,0,0,1
Rose (topology) on Wikipedia,wikipedia,Rose_(topology),1,0,0,0,1
Answer to 'Radial/pseudoradial implies Fréchet-Urysohn/sequential for locally countable spaces',mathse,4850979,1,4,0,0,5
"What are the compactness properties of $\mathbb R$, extended by a point with co-countable open neighborhoods?",mathse,4854178,1,6,0,0,7
Are linearly ordered topological spaces well-based?,mathse,4884795,1,3,0,0,4
"Answer to ""Totally disconnected implies base of closed sets?""",mathse,151954,1,2,0,0,3
Alexandrov topology on Wikipedia,wikipedia,Alexandrov_topology,3,1,0,2,6
"Diamond-free families (Griggs, Li & Lu)",doi,10.1016/j.jcta.2015.03.010,1,0,0,0,1
Examples of connected door spaces,mathse,3088994,1,3,0,0,4
"Connected door spaces and topological solutions of equations (Wu, Wang, Zhang)",zb,1400.39025,1,0,0,1,2
"Answer to ""Are there uncountably many non homeomorphic ways to topologize a countably infinite set?""",mathse,34841,1,0,0,0,1
What spaces are homeomorphic to $\mathbb Q^\omega = \mathbb Q^\mathbb N = \mathbb Q^\infty$?,mathse,4416328,1,0,0,0,1
Characterizations of the countable infinite product of rationals and some related problems (van Engelen),zb,0642.54033,1,0,0,0,1
Countable products of zero-dimensional absolute $F_{\sigma \delta}$ spaces (van Engelen),zb,0562.54054,1,0,0,0,1
Luzin spaces (K. Kunen),zb,0389.54004,2,0,0,0,2
The combinatorics of open covers II (Just et al),doi,10.1016/S0166-8641(96)00075-2,2,2,0,0,4
"Answer to ""For a compact sober ""highly non-$T_1$"" space, how much ""highly connectedness"" is needed to imply it's a spectral space?""",mathse,5007860,2,6,0,1,9
Note on convergence in topology (Arens),mr,37500,1,0,0,0,1
Mapping theorems on countable tightness and a question of F. Siwiec (Lin & Zhang),mr,3269014,1,0,0,0,1
Finite topological space,wikipedia,Finite_topological_space,1,0,0,0,1
Initial and terminal objects,wikipedia,Initial_and_terminal_objects,1,0,0,0,1
"Answer to """"All retracts are closed"" and ""all compacts are closed""""",mo,435257,1,3,0,0,4
Real projective plane of Wikipedia,wikipedia,Real_projective_plane,1,0,0,0,1
Sphere on Wikipedia,wikipedia,Sphere,1,0,0,0,1
Circle on Wikipedia,wikipedia,Circle,1,1,0,0,2
Example of an uncountable scattered space with some properties,mo,416331,1,5,0,0,6
"Answer to ""Is there an infinite topological space with only countably many continuous functions to itself?""",mo,434266,1,3,0,0,4
"Constructions and applications of rigid spaces, I",doi,10.1016/0001-8708(78)90006-3,1,0,0,0,1
"Answer to ""Example of a locally compact + Hausdorff + ¬normal + connected space""",mathse,3145712,1,3,0,0,4
A perfectly normal locally metrizable non-paracompact space,doi,10.4064/FM-97-2-53-55,1,5,0,0,6
Is the core topology on R2 a group topology?,mathse,2250999,1,0,0,0,1
Convex sets in linear spaces (Klee 1951),mr,44014,1,0,0,0,1
Some topological properites on convex sets (Klee 1955),mr,69388,1,0,0,0,1
Problem 5468 of The American Mathematical Monthly,doi,10.2307/2315929,1,7,0,0,8
A Lindelöf group with non-Lindelöf square,doi,10.1016/j.aim.2017.11.021,1,6,0,0,7
A Scattered Space that is not Zero-Dimensional (R. C. Solomon),doi,10.1112/blms/8.3.239,1,5,0,0,6
Vietoris topology on spaces dominated by second countable ones,doi,10.1515/math-2015-0018,1,1,0,0,2
Domination by second countable spaces and Lindelöf Σ-property,doi,10.1016/j.topol.2010.10.014,1,1,0,0,2
"Answer to ""A space which is 𝜎-compact but neither hemicompact nor second countable""",mathse,4736740,1,4,0,0,5
"Answer to ""Meager topological spaces of uncountable size""",mathse,3947741,1,0,0,0,1
Must US extremally disconnected spaces be sequentially discrete?,mo,452903,1,4,0,0,5
"Answer to 'A ""simple"" space with closed retracts but non-unique sequential limits'",mo,460346,1,2,0,0,3
"On first countable, countably compact spaces. III. The problem of obtaining separable noncompact examples. (Nyikos)",mr,MR1078644,1,0,0,0,1
"Answer to ""Is there a first countable, $T_1$, weakly Lindelof, sequentially compact space which is not also compact?""",mathse,4874321,1,5,0,0,6
"Answer to ""Path-connected and locally connected space that is not locally path-connected""",mathse,1499512,1,4,0,0,5
On locally simply connected toposes and their fundamental groups. (Barr & Diaconescu),mr,MR0649078,1,0,0,0,1
Two nonmetrizable manifolds (Mary Ellen Rudin),doi,10.1016/0166-8641(90)90099-N,1,4,0,0,5
Hawaiian earring on Wikipedia,wikipedia,Hawaiian_earring,1,0,0,0,1
An Introduction to Algebraic Topology (Rotman),doi,10.1007/978-1-4612-4576-6,1,0,0,0,1
Completeness properties in the compact-open topology on fans (Gruenhage and Hughes),zb,1339.54022,1,0,0,0,1
Warsaw circle on Wikipedia,wikipedia,Warsaw_circle,1,0,0,0,1
Milnor–Thurston homology groups of the Warsaw Circle (J. Przewocki),doi,10.1016/j.topol.2013.07.001,1,0,0,0,1
"Answer to ""Are submetrizable semiregular spaces regular?""",mathse,4996886,1,11,0,0,12
"Answer to ""Is every $T_4$ topological space divisible?""",mathse,5004796,1,1,0,1,3
"Answer to ""Is there a nontrivial LOTS that is connected and totally path disconnected?""",mathse,4453440,1,2,0,0,3
"Answer to ""Does locally compact and σ-compact non-Hausdorff space imply hemicompact?""",mathse,4569500,0,0,0,1,1
